epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,243.535,1.17629,1.67542,1.47942,0.53761,0.41745,0.37726,0.25181,1.1749,1.25473,1.4939,0.00333078,0.00333078,0.00333078
2,473.568,1.19259,1.30484,1.45097,0.18757,0.19116,0.14578,0.08606,1.57853,2.17894,2.09219,0.00663113,0.00663113,0.00663113
3,704.253,1.25137,1.35672,1.48088,0.43188,0.40728,0.31982,0.20296,1.27305,1.34353,1.56854,0.00989847,0.00989847,0.00989847
4,937.275,1.24474,1.34464,1.46833,0.38821,0.41201,0.32159,0.21975,1.19753,1.24146,1.48768,0.0098515,0.0098515,0.0098515
5,1170.11,1.19655,1.26144,1.41779,0.48257,0.42629,0.38017,0.25483,1.13447,1.13095,1.41368,0.009802,0.009802,0.009802
6,1393.71,1.16734,1.21341,1.39072,0.35273,0.47559,0.37943,0.26532,1.09097,1.09253,1.37203,0.0097525,0.0097525,0.0097525
7,1615.49,1.1436,1.1706,1.36872,0.53681,0.4445,0.42412,0.28563,1.08833,1.03825,1.37286,0.009703,0.009703,0.009703
8,1836.23,1.12911,1.14616,1.35804,0.44986,0.41302,0.40907,0.27943,1.08041,1.05302,1.345,0.0096535,0.0096535,0.0096535
9,2058.3,1.11436,1.12584,1.3449,0.47696,0.49372,0.47178,0.32244,1.06321,1.00083,1.33669,0.009604,0.009604,0.009604
